sentence_id	sentence	locale	reason
033d180c279de1eed70a51b72365d3b810398a37badd1c7cdc78863327f8bc1a	Chaw'ucha deko andu kumweri.	en	difficult-pronounce
033d180c279de1eed70a51b72365d3b810398a37badd1c7cdc78863327f8bc1a	Chaw'ucha deko andu kumweri.	en	different-language
033760cbe6006d111ccf633258c1c1699195866763e072d77b6eb24223f66c06	Ni w'uchokwa ghwaw'emduka.	en	difficult-pronounce
033760cbe6006d111ccf633258c1c1699195866763e072d77b6eb24223f66c06	Ni w'uchokwa ghwaw'emduka.	en	different-language
0f957e4a9fd4b01946abb4883657404931e4dd1866a7f935af292f10390530cf	W'andu w'amu ndew'ikuichi w'aw'ekunda kukuw'ona.	en	different-language
033d180c279de1eed70a51b72365d3b810398a37badd1c7cdc78863327f8bc1a	Chaw'ucha deko andu kumweri.	en	different-language
0ad1ec6844acf44dcdf1aafffb7103de98be748887b84b5a1325df984e56843a	Chwakule rapo reka sara mundu wa migodi.	en	different-language
033d180c279de1eed70a51b72365d3b810398a37badd1c7cdc78863327f8bc1a	Chaw'ucha deko andu kumweri.	en	different-language
0ef8b0ee8fb146537f353e94348bcdb724e899cf4812d8cc99bb1dc5d370603c	Nadaobua mbew'a.	en	different-language
0c0e9880f455e19abc958dda6acbdc2049eee4450ba55ac3de0ae8a00fe372f0	Woka na vonda Va marangi.	en	different-language
ea47e683ce5b09f3e3abb8cbdfbada1bc2f2f249383621933f3a3d7519ba1327	This verse covers the section somewhat after the Babylonian Captivity six generation before Jesus.	en	grammar-or-spelling
23322a3d9f21984eec5d23d094cf8147c0b6d76a89856670b0cf2182e969f146	W'aghora ndew'iichi kidaw'ida.	en	difficult-pronounce
23322a3d9f21984eec5d23d094cf8147c0b6d76a89856670b0cf2182e969f146	W'aghora ndew'iichi kidaw'ida.	en	different-language
26a9c8674117658629c52b00224e799b9edbf2c82b1c9130af71d773a2f7025e	Mapemba gha pure ghekwaeni.	en	different-language
054bef34daedd9551b89d18875caf8894e6dd24632ec7d817ba0dd61a64de7de	W'edeghora bora w'aw'ew'ongia.	en	different-language
23322a3d9f21984eec5d23d094cf8147c0b6d76a89856670b0cf2182e969f146	W'aghora ndew'iichi kidaw'ida.	en	different-language
0fc4c8566d0d912bb49e4fb50f01aba50d152346294004e5924329a76e18ddd8	Waw'elola chia ye reda mumbi ghwaw'o mzinyi.	en	different-language
05c8c667bbefcc743a327472bdb1280f9439fab2cc5b0bf71d313df763902177	Cal fer una còpia de seguretat del telèfon mòbil	en	grammar-or-spelling
05c8c667bbefcc743a327472bdb1280f9439fab2cc5b0bf71d313df763902177	Cal fer una còpia de seguretat del telèfon mòbil	en	sc-different-language
13fcf5e1aad10905d43507d327cee85860aa6b6a955fd1cc026302619d657542	Berolahraga bagus untuk kesehatan	en	grammar-or-spelling
13fcf5e1aad10905d43507d327cee85860aa6b6a955fd1cc026302619d657542	Berolahraga bagus untuk kesehatan	en	sc-different-language
33457965df0d6a92d054ac45004574396c1b3fec818ebed5b57c77a88e789ca7	Wovimba mbi ghose .	en	grammar-or-spelling
33457965df0d6a92d054ac45004574396c1b3fec818ebed5b57c77a88e789ca7	Wovimba mbi ghose .	en	sc-different-language
335db3709e0e88a3b55eb9b013fd96e5a2e2d60fbc3a1282ff1361667a1efe06	Wadekulwa mtughuta ukilogha na vishere.	en	grammar-or-spelling
335db3709e0e88a3b55eb9b013fd96e5a2e2d60fbc3a1282ff1361667a1efe06	Wadekulwa mtughuta ukilogha na vishere.	en	sc-different-language
